Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Chris Devenski","- - -",14.2,80.93104761904762,,,,146.6726666666667,,130.57855670103095,99.33999999999999,,110.36107883817427,104.3898755186722,115.98232365145226,"Chris Devenski",12763,606965
"Adrian Morejon","SDP",34,106.10997319034851,,,,135.33486486486484,109.12914285714288,119.76956521739127,,,111.04312267657991,106.58817843866169,115.82052044609662,"Adrian Morejon",20039,670970
"Zack Wheeler","PHI",153,111.79126252505013,123.25533498759306,102.69063973063972,,,106.8347330960854,71.78809523809522,,,109.9981995753715,105.43090445859873,115.81369851380047,"Zack Wheeler",10310,554430
"Liam Hendriks","CHW",57.2,112.2428919860627,,,,114.51861313868612,122.94500000000002,,,,114.05976694915256,100.80358050847452,115.5529237288136,"Liam Hendriks",3548,521230
"Hunter Harvey","WSN",39.1,106.91700389105056,,,118.48828282828279,140.74666666666664,99.95045454545456,,,,108.38021180030258,107.77216338880487,115.31673222390317,"Hunter Harvey",15507,640451
"Jonathan Loáisiga","NYY",48,105.98428571428569,117.47991718426499,,,,108.74415584415586,92.35736842105264,,,111.80649076517146,103.45124010554089,115.13633245382584,"Jonathan Loaisiga",19753,642528
"Shohei Ohtani","LAA",166,101.2592757660167,122.99113402061857,107.60952789699571,133.50339743589743,131.13482300884957,104.54522522522525,,,,118.42651127244943,96.49708826901028,115.11405426060377,"Shohei Ohtani",19755,660271
"Phil Bickford","LAD",61,114.79931649331353,,,,107.42664556962025,,83.06,,,112.43021233569262,106.01411526794743,115.10752275025278,"Phil Bickford",18519,641360
"Taylor Clarke","KCR",49,94.35269230769232,,,,116.01189710610934,,102.08402173913049,,,103.82224037339559,110.10056009334892,115.0873045507584,"Taylor Clarke",17611,664199
"Michael King","NYY",51,116.09344827586209,110.79950877192982,,,125.84712446351932,,94.87486486486488,,,115.06381077529566,100.95971090670174,114.83169513797628,"Michael King",19853,650633
"Josh Fleming","TBR",35,,115.20104972375691,93.95465346534654,,,99.40055555555556,94.44158730158729,,,106.32711728820614,108.62483834565295,114.8284056562936,"Josh Fleming",20418,676596
"Yimi García","TOR",61,110.62547826086956,105.86219178082192,,,98.0632967032967,106.57540229885058,99.2313157894737,,,106.21907066795738,108.16576960309781,114.54706679574058,"Yimi Garcia",12095,554340
"Aaron Nola","PHI",205,115.88595073891626,106.3513986013986,95.15909090909092,,,,82.36558035714286,121.8575434243176,,109.41169636963694,107.89916171617165,114.43438943894382,"Aaron Nola",16149,605400
"Cooper Criswell","TBR",3.1,,99.5,96.12,,110.16,,,,,102.98977777777777,115.72355555555555,114.34888888888888,"Cooper Criswell",24975,681867
