Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Fitzgerald","SFG",121,494,450,109,65,24,3,17,69,67,33,3,148,8,2,1,0,15,4,0.242222,0.0668016,0.299595,0.222973,0.30426,0.422222,0.313197,0.726482,0.18,6.57495,0.320558,,0.567055,58.9871,1.19989,102.437,0.567055,0.3,2.006395637989044,5.745326340198517,2.49957,999,,,,,,,547.2,4.522314049,547.2,4.522314049,,,,,,,,,,,,,,,,,,,"Tyler Fitzgerald","26208",666149
"J.P. Crawford","SEA",122,523,454,109,75,23,1,10,64,48,60,7,105,6,2,1,0,3,1,0.240088,0.114723,0.200765,0.571429,0.335249,0.361233,0.306625,0.696483,0.121145,3.39165,0.290323,,-0.862591,59.6833,-1.49622,105.856,-0.862591,-1.7,2.641842842102051,4.064991235733032,2.49326,999,,,,,,,523.7,4.29262295,523.7,4.29262295,,,,,,,,,,,,,,,,,,,"J.P. Crawford","15491",641487
"Pete Alonso",,149,636,550,132,75,25,1,31,80,95,67,16,147,14,5,0,6,4,0,0.24,0.105346,0.231132,0.455782,0.334906,0.458182,0.335235,0.793087,0.218182,3.44094,0.267905,,-0.304939,87.2239,12.8259,118.816,-0.304939,0.6,14.005496174097061,-11.084303259849548,2.48906,999,,,,,,,809.4,5.432214765,809.4,5.432214765,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Cody Bellinger","NYY",129,547,491,127,83,24,1,19,75,77,43,7,88,4,9,0,5,9,3,0.258656,0.0786106,0.160878,0.488636,0.318099,0.427699,0.317612,0.745797,0.169043,4.48709,0.274809,,-0.385787,67.2596,3.27259,107.199,-0.385787,-0.3,4.120197147130966,1.7098471522331238,2.48533,999,,,,,,,623.8,4.835658914,623.8,4.835658914,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Trey Sweeney","DET",124,549,496,113,72,23,3,15,69,60,46,7,146,5,2,0,1,13,3,0.227823,0.0837887,0.265938,0.315068,0.298725,0.377016,0.292115,0.675741,0.149194,5.79758,0.290801,,0.46946,56.2391,-7.98189,90.4612,0.46946,5,-5.522562682628632,11.051587104797363,2.46113,999,,,,,,,530.9,4.281451612,530.9,4.281451612,,,,,,,,,,,,,,,,,,,"Trey Sweeney","29575",700242
"Seiya Suzuki","CHC",127,543,475,125,78,24,4,19,68,68,59,7,134,4,5,0,3,10,5,0.263158,0.108656,0.246777,0.440298,0.346225,0.450526,0.341228,0.796751,0.187368,4.89266,0.324159,,-1.08262,77.0885,13.5694,121.882,-1.08262,-1.4,13.125640153884888,-7.385449767112732,2.46035,999,,,,,,,690,5.433070866,690,5.433070866,,,,,,,,,,,,,,,,,,,"Seiya Suzuki","30116",673548
"Junior Caminero","TBR",121,520,481,125,82,19,2,22,62,76,33,10,106,4,2,0,2,3,2,0.259875,0.0634615,0.203846,0.311321,0.311538,0.444906,0.319876,0.756445,0.185031,3.23805,0.290141,,-1.07029,64.8871,4.05846,112.848,-1.07029,-2,6.574240565299988,-0.08935916423797607,2.46001,999,,,,,,,603.4,4.986776859,603.4,4.986776859,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Carter Jensen","KCR",135,586,516,116,73,24,5,14,62,65,62,6,148,3,5,0,1,8,2,0.224806,0.105802,0.25256,0.418919,0.308874,0.372093,0.296323,0.680967,0.147287,5.17218,0.284123,,-0.251813,62.0142,-6.53499,87.762,-0.251813,1.8,-8.45750007033348,12.565726041793823,2.44178,999,,,,,,,567.9,4.206666666,567.9,4.206666666,,,,,,,,,,,,,,,,,,,"Carter Jensen","sa3017339",695600
"Chase Meidroth","CHW",124,560,472,118,90,19,2,7,73,51,74,10,89,11,3,0,0,8,3,0.25,0.132143,0.158929,0.831461,0.3625,0.34322,0.314076,0.70572,0.0932203,4.35952,0.292876,,-0.917269,67.2643,1.75661,104.207,-0.917269,-3,1.7785216569900513,3.172839641571045,2.43934,999,,,,,,,582.9,4.700806451,582.9,4.700806451,,,,,,,,,,,,,,,,,,,"Chase Meidroth","sa3020011",805367
"Mike Trout","LAA",72,308,264,66,36,13,1,16,43,45,39,3,84,4,1,0,3,4,1,0.25,0.126623,0.272727,0.464286,0.353896,0.488636,0.361058,0.842532,0.238636,4.41664,0.30303,,-0.20483,48.6419,12.6126,135.994,-0.20483,-0.3,12.480039268732071,0.8316872715950012,2.43519,999,,,,,,,433.2,6.016666666,433.2,6.016666666,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Charles McAdoo","TOR",126,526,475,116,73,25,4,14,59,68,41,6,137,7,3,0,1,11,3,0.244211,0.0779468,0.260456,0.29927,0.311787,0.402105,0.307579,0.713892,0.157895,5.47772,0.311927,,0.0773522,60.4298,-1.1007,101.496,0.0773522,3,0.9777985885739326,4.932686686515808,2.42134,999,,,,,,,558,4.428571428,558,4.428571428,,,,,,,,,,,,,,,,,,,"Charles McAdoo","sa3022823",807727
"Colt Keith","DET",129,591,535,141,88,32,3,18,79,81,49,10,129,3,4,0,2,2,1,0.263551,0.0829103,0.218274,0.379845,0.326565,0.435514,0.324324,0.762079,0.171963,3.62386,0.313776,,-1.03102,75.8624,6.72834,113.118,-1.03102,-6.3,7.83941912651062,-4.128483533859253,2.41796,999,,,,,,,690.7,5.354263565,690.7,5.354263565,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
